,CLASS,PACKAGE,KILLED,,MEMORY_ERROR,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score
593,SmoothingPolynomialBicubicSplineInterpolator,org.apache.commons.math3.analysis.interpolation,43,0,0,4,0,47,91.4893617
594,SobolSequenceGenerator,org.apache.commons.math3.random,72,0,1,16,0,89,80.8988764
595,SolutionCallback,org.apache.commons.math3.optim.linear,4,0,0,0,0,4,100
596,SparseFieldMatrix,org.apache.commons.math3.linear,8,0,13,5,0,26,30.76923077
597,SparseFieldVector,org.apache.commons.math3.linear,119,0,66,42,0,227,52.42290749
598,SparseGradient,org.apache.commons.math3.analysis.differentiation,223,0,5,22,0,250,89.2
599,SpearmansCorrelation,org.apache.commons.math3.stat.correlation,34,0,2,1,0,37,91.89189189
600,Sphere1D,org.apache.commons.math3.geometry.spherical.oned,3,0,0,0,0,3,100
601,Sphere2D,org.apache.commons.math3.geometry.spherical.twod,3,0,1,0,0,4,75
602,SphereGenerator,org.apache.commons.math3.geometry.euclidean.threed,15,0,0,3,0,18,83.33333333
603,SphericalCoordinates,org.apache.commons.math3.geometry.euclidean.threed,204,0,0,0,0,204,100
604,SphericalPolygonsSet,org.apache.commons.math3.geometry.spherical.twod,72,0,5,13,4,94,80.85106383
605,SplineInterpolator,org.apache.commons.math3.analysis.interpolation,67,0,0,1,0,68,98.52941176
606,Sqrt,org.apache.commons.math3.analysis.function,2,0,1,0,0,3,66.66666667
607,StableRandomGenerator,org.apache.commons.math3.random,21,0,23,19,0,63,33.33333333
608,StandardDeviation,org.apache.commons.math3.stat.descriptive.moment,9,0,4,3,0,16,56.25
609,StatUtils,org.apache.commons.math3.stat,65,0,8,7,0,80,81.25
610,StatisticalSummaryValues,org.apache.commons.math3.stat.descriptive,20,0,0,12,0,32,62.5
611,StepFunction,org.apache.commons.math3.analysis.function,12,0,0,1,0,13,92.30769231
612,StepNormalizer,org.apache.commons.math3.ode.sampling,23,0,1,7,8,39,79.48717949
613,StepNormalizerBounds,org.apache.commons.math3.ode.sampling,2,0,0,0,0,2,100
614,StorelessBivariateCovariance,org.apache.commons.math3.stat.correlation,32,0,3,1,0,36,88.88888889
615,StorelessCovariance,org.apache.commons.math3.stat.correlation,36,0,9,3,0,48,75
616,SubCircle,org.apache.commons.math3.geometry.spherical.twod,8,0,0,2,0,10,80
617,SubHyperplane,org.apache.commons.math3.geometry.partitioning,12,0,0,0,0,12,100
618,SubLimitAngle,org.apache.commons.math3.geometry.spherical.oned,4,0,0,2,0,6,66.66666667
619,SubLine,org.apache.commons.math3.geometry.euclidean.threed,11,0,0,0,0,11,100
620,SubLine,org.apache.commons.math3.geometry.euclidean.twod,25,0,0,3,0,28,89.28571429
621,SubOrientedPoint,org.apache.commons.math3.geometry.euclidean.oned,7,0,1,2,0,10,70
622,SubPlane,org.apache.commons.math3.geometry.euclidean.threed,12,0,0,3,0,15,80
623,Subtract,org.apache.commons.math3.analysis.function,0,0,2,0,0,2,0
624,Sum,org.apache.commons.math3.stat.descriptive.summary,21,0,2,3,0,26,80.76923077
625,SumOfClusterVariances,org.apache.commons.math3.ml.clustering.evaluation,5,0,0,0,0,5,100
626,SumOfLogs,org.apache.commons.math3.stat.descriptive.summary,13,0,1,3,0,17,76.47058824
627,SumOfSquares,org.apache.commons.math3.stat.descriptive.summary,15,0,1,3,0,19,78.94736842
628,SummaryStatistics,org.apache.commons.math3.stat.descriptive,66,0,18,38,0,122,54.09836066
629,SymmLQ,org.apache.commons.math3.linear,158,0,10,47,0,215,73.48837209
630,SymmetricGaussIntegrator,org.apache.commons.math3.analysis.integration.gauss,18,0,0,2,0,20,90
631,SynchronizedDescriptiveStatistics,org.apache.commons.math3.stat.descriptive,13,0,2,2,0,17,76.47058824
632,SynchronizedMultivariateSummaryStatistics,org.apache.commons.math3.stat.descriptive,30,0,0,0,0,30,100
633,SynchronizedRandomGenerator,org.apache.commons.math3.random,8,0,3,0,0,11,72.72727273
634,SynchronizedSummaryStatistics,org.apache.commons.math3.stat.descriptive,22,0,16,1,0,39,56.41025641
635,TDistribution,org.apache.commons.math3.distribution,45,0,0,5,1,51,90.19607843
636,TTest,org.apache.commons.math3.stat.inference,106,0,3,24,0,133,79.69924812
637,Tan,org.apache.commons.math3.analysis.function,0,0,2,1,0,3,0
638,Tanh,org.apache.commons.math3.analysis.function,0,0,2,1,0,3,0
639,Target,org.apache.commons.math3.optim.nonlinear.vector,1,0,0,0,0,1,100
640,Target,org.apache.commons.math3.optimization,1,0,0,0,0,1,100
641,TestUtils,org.apache.commons.math3.stat.inference,39,0,11,0,0,50,78
642,ThirdMoment,org.apache.commons.math3.stat.descriptive.moment,19,0,0,2,0,21,90.47619048
643,ThreeEighthesFieldIntegrator,org.apache.commons.math3.ode.nonstiff,7,0,0,0,0,7,100
644,ThreeEighthesFieldStepInterpolator,org.apache.commons.math3.ode.nonstiff,5,0,0,0,0,5,100
645,ThreeEighthesStepInterpolator,org.apache.commons.math3.ode.nonstiff,85,0,0,0,0,85,100
646,TooManyEvaluationsException,org.apache.commons.math3.exception,0,0,0,1,0,1,0
647,TooManyIterationsException,org.apache.commons.math3.exception,0,0,0,1,0,1,0
648,TopographicErrorHistogram,org.apache.commons.math3.ml.neuralnet.twod.util,0,0,12,0,0,12,0
649,TournamentSelection,org.apache.commons.math3.genetics,7,0,2,1,0,10,70
650,TransformUtils,org.apache.commons.math3.transform,17,0,3,1,0,21,80.95238095
651,Transformer,org.apache.commons.math3.ode.events,8,0,0,1,0,9,88.88888889
652,TransformerMap,org.apache.commons.math3.util,16,0,8,2,0,26,61.53846154
653,TrapezoidIntegrator,org.apache.commons.math3.analysis.integration,31,0,2,5,0,38,81.57894737
654,TriDiagonalTransformer,org.apache.commons.math3.linear,120,0,1,3,0,124,96.77419355
655,TriangularDistribution,org.apache.commons.math3.distribution,106,0,3,11,0,120,88.33333333
656,TricubicInterpolatingFunction,org.apache.commons.math3.analysis.interpolation,187,0,22,1,0,210,89.04761905
657,TricubicInterpolator,org.apache.commons.math3.analysis.interpolation,56,0,17,6,0,79,70.88607595
658,TricubicSplineInterpolatingFunction,org.apache.commons.math3.analysis.interpolation,117,0,5,8,0,130,90
659,TricubicSplineInterpolator,org.apache.commons.math3.analysis.interpolation,52,0,0,35,0,87,59.77011494
660,Ulp,org.apache.commons.math3.analysis.function,0,0,0,1,0,1,0
661,UncorrelatedRandomVectorGenerator,org.apache.commons.math3.random,7,0,0,0,0,7,100
662,UnifiedDistanceMatrix,org.apache.commons.math3.ml.neuralnet.twod.util,0,0,54,0,0,54,0
663,UniformCrossover,org.apache.commons.math3.genetics,14,0,1,0,0,15,93.33333333
664,UniformIntegerDistribution,org.apache.commons.math3.distribution,39,0,1,3,3,46,91.30434783
665,UniformRandomGenerator,org.apache.commons.math3.random,4,0,0,0,0,4,100
666,UniformRealDistribution,org.apache.commons.math3.distribution,41,0,1,3,0,45,91.11111111
667,UnitSphereRandomVectorGenerator,org.apache.commons.math3.random,11,0,0,0,0,11,100
668,UnivariateMultiStartOptimizer,org.apache.commons.math3.optimization.univariate,26,0,3,4,0,33,78.78787879
669,UnivariateObjectiveFunction,org.apache.commons.math3.optim.univariate,1,0,0,0,0,1,100
670,UnivariateOptimizer,org.apache.commons.math3.optim.univariate,11,0,0,0,0,11,100
671,UnivariatePeriodicInterpolator,org.apache.commons.math3.analysis.interpolation,18,0,0,3,0,21,85.71428571
672,UnivariatePointValuePair,org.apache.commons.math3.optim.univariate,2,0,0,0,0,2,100
673,UnivariatePointValuePair,org.apache.commons.math3.optimization.univariate,2,0,0,0,0,2,100
674,UnivariateSolverUtils,org.apache.commons.math3.analysis.solvers,53,0,16,26,0,95,55.78947368
675,UnknownParameterException,org.apache.commons.math3.ode,1,0,0,0,0,1,100
676,ValueServer,org.apache.commons.math3.random,31,0,1,6,0,38,81.57894737
677,Variance,org.apache.commons.math3.stat.descriptive.moment,67,0,7,18,0,92,72.82608696
678,Vector1D,org.apache.commons.math3.geometry.euclidean.oned,69,0,3,4,0,76,90.78947368
679,Vector1DFormat,org.apache.commons.math3.geometry.euclidean.oned,8,0,0,0,0,8,100
680,Vector2D,org.apache.commons.math3.geometry.euclidean.twod,41,0,92,16,0,149,27.51677852
681,Vector2DFormat,org.apache.commons.math3.geometry.euclidean.twod,7,0,1,0,0,8,87.5
682,Vector3D,org.apache.commons.math3.geometry.euclidean.threed,157,0,0,15,0,172,91.27906977
683,Vector3DFormat,org.apache.commons.math3.geometry.euclidean.threed,8,0,0,0,0,8,100
684,VectorFormat,org.apache.commons.math3.geometry,24,0,6,2,0,32,75
685,VectorialCovariance,org.apache.commons.math3.stat.descriptive.moment,39,0,18,6,0,63,61.9047619
686,VectorialMean,org.apache.commons.math3.stat.descriptive.moment,15,0,6,1,0,22,68.18181818
687,Vertex,org.apache.commons.math3.geometry.spherical.twod,6,0,1,2,0,9,66.66666667
688,WeibullDistribution,org.apache.commons.math3.distribution,57,0,4,5,0,66,86.36363636
689,Weight,org.apache.commons.math3.optim.nonlinear.vector,1,0,1,0,0,2,50
690,Weight,org.apache.commons.math3.optimization,1,0,1,0,0,2,50
691,WeightedObservedPoint,org.apache.commons.math3.fitting,3,0,0,0,0,3,100
692,WeightedObservedPoint,org.apache.commons.math3.optimization.fitting,3,0,0,0,0,3,100
693,WeightedObservedPoints,org.apache.commons.math3.fitting,3,0,0,0,0,3,100
694,Well1024a,org.apache.commons.math3.random,20,0,0,0,0,20,100
695,Well19937a,org.apache.commons.math3.random,26,0,0,0,0,26,100
696,Well19937c,org.apache.commons.math3.random,32,0,0,0,0,32,100
697,Well44497a,org.apache.commons.math3.random,29,0,0,0,0,29,100
698,Well44497b,org.apache.commons.math3.random,35,0,0,0,0,35,100
699,Well512a,org.apache.commons.math3.random,22,0,0,0,0,22,100
700,WelzlEncloser,org.apache.commons.math3.geometry.enclosing,19,0,0,5,4,28,82.14285714
701,WilcoxonSignedRankTest,org.apache.commons.math3.stat.inference,57,0,0,7,2,66,89.39393939
702,WilsonScoreInterval,org.apache.commons.math3.stat.interval,27,0,0,0,0,27,100
703,ZipfDistribution,org.apache.commons.math3.distribution,83,0,1,26,4,114,76.31578947
